PositionID,PositionTitle,EmployerID,Wage,HoursPerWeek,Experience,Openings
1004,Host/Hostess,10197,18.00,24,FALSE,3
1007,Tour Guide,10146,19.75,20,TRUE,2
1010,Kitchen Help,10135,14.00,40,FALSE,3
1017,Tour Guide,10146,16.00,20,FALSE,3
1021,Waiter/Waitress,10155,10.50,30,FALSE,3
1025,Kitchen Help,10145,13.50,32,FALSE,2
1027,Waiter/Waitress,10145,11.00,32,FALSE,2
1028,Cook,10194,26.00,40,TRUE,3
1033,Lifeguard,10138,21.50,35,TRUE,3
1034,Waiter/Waitress,10162,11.25,30,FALSE,1
1036,Reservationist,10151,15.75,32,FALSE,3
1037,Gift Shop Clerk,10159,14.50,35,FALSE,3
1040,Waiter/Waitress,10126,11.50,32,TRUE,2
1041,Housekeeping,10133,13.00,40,FALSE,1
1045,Tour Guide,10122,18.00,24,FALSE,3
1048,Front Desk Clerk,10170,17.50,32,FALSE,3
1049,Pro Shop Clerk,10218,18.00,40,TRUE,3
1053,Host/Hostess,10190,16.75,24,FALSE,2
1055,Greenskeeper,10195,19.00,30,TRUE,3
1056,Reservationist,10156,16.00,24,FALSE,3
1058,Main Office Clerk,10152,15.25,32,FALSE,3
1060,Concierge,10201,20.00,35,TRUE,3
1061,Waiter/Waitress,10223,10.50,30,FALSE,2
1064,Waiter/Waitress,10180,11.00,24,FALSE,2
1065,Tour Guide,10176,16.00,20,FALSE,3
1066,Lifeguard,10198,19.00,32,TRUE,3
1068,Housekeeping,10133,13.75,30,FALSE,1
1070,Housekeeping,10167,14.00,24,FALSE,2
1073,Pro Shop Clerk,10126,16.50,24,FALSE,3
1074,Tour Guide,10156,16.75,30,TRUE,3
1076,Cook,10175,21.00,32,TRUE,3
1077,Front Desk Clerk,10222,16.25,40,FALSE,3
1078,Ski Patrol,10191,19.50,30,TRUE,2
1079,Day Care,10191,16.75,35,TRUE,3
1081,Kitchen Help,10134,13.00,40,FALSE,2
1082,Reservationist,10122,15.50,40,FALSE,3
1085,Waiter/Waitress,10154,11.00,30,FALSE,2
1086,Waiter/Waitress,10174,11.75,32,FALSE,3
1087,Tour Guide,10226,15.00,25,FALSE,3
1089,Day Care,10185,16.00,32,TRUE,3
1090,Host/Hostess,10210,18.00,40,TRUE,3
1091,Housekeeping,10210,13.75,40,FALSE,2
1093,Front Desk Clerk,10217,16.00,32,FALSE,3
1094,Ski Patrol,10152,20.00,25,TRUE,3
1096,Housekeeping,10145,14.50,30,FALSE,2
1097,Waiter/Waitress,10145,13.00,32,FALSE,1
1099,Concierge,10220,20.75,40,TRUE,3
1101,Tour Guide,10225,19.00,24,TRUE,1
1102,Reservationist,10151,20.75,30,FALSE,2
1105,Host/Hostess,10135,15.00,25,FALSE,1
1107,Ski Patrol,10167,17.00,25,TRUE,1
1110,Pro Shop Clerk,10195,20.50,30,TRUE,1
1111,Kitchen Help,10223,11.50,32,FALSE,1
1114,Cook,10155,14.50,40,TRUE,2
1115,Gift Shop Clerk,10154,12.00,25,FALSE,2
1117,Housekeeping,10220,27.00,30,FALSE,1
1118,Greenskeeper,10218,22.50,32,FALSE,1
1123,Main Office Clerk,10170,15.50,32,FALSE,1
1124,Kitchen Help,10163,12.50,40,TRUE,2
1127,Waiter/Waitress,10185,14.00,40,FALSE,3
1130,Housekeeping,10151,19.00,30,FALSE,1
2004,Host/Hostess,10197,17.00,24,FALSE,1
2007,Tour Guide,10146,18.75,20,TRUE,2
2010,Kitchen Help,10135,13.00,40,FALSE,1
2017,Tour Guide,10146,15.00,20,FALSE,1
2020,Host/Hostess,10163,18.50,32,TRUE,1
2021,Waiter/Waitress,10155,9.50,30,FALSE,1
2025,Kitchen Help,10145,12.50,32,FALSE,2
2027,Waiter/Waitress,10145,10.00,32,FALSE,2
2028,Cook,10194,25.00,40,TRUE,1
2033,Lifeguard,10138,20.50,35,TRUE,1
2034,Waiter/Waitress,10162,10.25,30,FALSE,3
2036,Reservationist,10151,14.75,32,FALSE,1
2037,Gift Shop Clerk,10159,13.50,35,FALSE,1
2040,Waiter/Waitress,10126,10.50,32,TRUE,2
2041,Housekeeping,10133,12.00,40,FALSE,3
2045,Tour Guide,10122,17.00,24,FALSE,1
2048,Front Desk Clerk,10170,16.50,32,FALSE,1
2049,Pro Shop Clerk,10218,17.00,40,TRUE,1
2053,Host/Hostess,10190,15.75,24,FALSE,2
2055,Greenskeeper,10195,18.00,30,TRUE,1
2056,Reservationist,10156,15.00,24,FALSE,1
2058,Main Office Clerk,10152,14.25,32,FALSE,1
2060,Concierge,10201,19.00,35,TRUE,1
2061,Waiter/Waitress,10223,9.50,30,FALSE,2
2064,Waiter/Waitress,10180,10.00,24,FALSE,2
2065,Tour Guide,10176,15.00,20,FALSE,1
2066,Lifeguard,10198,18.00,32,TRUE,1
2068,Housekeeping,10133,12.75,30,FALSE,3
2070,Housekeeping,10167,13.00,24,FALSE,2
2073,Pro Shop Clerk,10126,15.50,24,FALSE,1
2074,Tour Guide,10156,15.75,30,TRUE,1
2076,Cook,10175,20.00,32,TRUE,1
2077,Front Desk Clerk,10222,15.25,40,FALSE,1
2078,Ski Patrol,10191,18.50,30,TRUE,2
2079,Day Care,10191,15.75,35,TRUE,1
2081,Kitchen Help,10134,12.00,40,FALSE,2
2082,Reservationist,10122,14.50,40,FALSE,1
2085,Waiter/Waitress,10154,10.00,30,FALSE,2
2086,Waiter/Waitress,10174,10.75,32,FALSE,1
2087,Tour Guide,10226,14.00,25,FALSE,1
2089,Day Care,10185,15.00,32,TRUE,1
2090,Host/Hostess,10210,17.00,40,TRUE,1
2091,Housekeeping,10210,12.75,40,FALSE,2
2093,Front Desk Clerk,10217,15.00,32,FALSE,1
2094,Ski Patrol,10152,19.00,25,TRUE,1
2096,Housekeeping,10145,13.50,30,FALSE,2
2097,Waiter/Waitress,10145,12.00,32,FALSE,3
2099,Concierge,10220,19.75,40,TRUE,1
2101,Tour Guide,10225,16.00,24,TRUE,1
2102,Reservationist,10151,15.00,30,FALSE,1
2105,Host/Hostess,10135,16.50,25,FALSE,1
2107,Ski Patrol,10167,18.75,25,TRUE,2
2110,Pro Shop Clerk,10195,16.00,30,TRUE,1
2111,Kitchen Help,10223,13.00,32,FALSE,1
2114,Cook,10155,20.00,40,TRUE,1
2115,Gift Shop Clerk,10154,13.00,25,FALSE,1
2117,Housekeeping,10220,13.50,30,FALSE,3
2118,Greenskeeper,10218,17.00,32,FALSE,1
2120,Lifeguard,10154,19.00,32,TRUE,2
2122,Kitchen Help,10151,13.00,35,FALSE,3
2123,Main Office Clerk,10170,14.50,32,FALSE,1
2124,Kitchen Help,10163,14.50,40,TRUE,2
2127,Waiter/Waitress,10185,10.50,40,FALSE,1
2130,Housekeeping,10151,12.50,30,FALSE,2
2201,Tour Guide,10225,17.00,24,TRUE,3
2202,Reservationist,10151,16.00,30,FALSE,3
2205,Host/Hostess,10135,17.50,25,FALSE,3
2207,Ski Patrol,10167,19.75,25,TRUE,2
2210,Pro Shop Clerk,10195,17.00,30,TRUE,3
2211,Kitchen Help,10223,14.00,32,FALSE,3
2214,Cook,10155,21.00,40,TRUE,3
2215,Gift Shop Clerk,10154,14.00,25,FALSE,3
2217,Housekeeping,10220,14.50,30,FALSE,1
2218,Greenskeeper,10218,18.00,32,FALSE,3
2222,Kitchen Help,10151,14.00,35,FALSE,1
2223,Main Office Clerk,10170,15.50,32,FALSE,3
2224,Kitchen Help,10163,15.50,40,TRUE,2
2227,Waiter/Waitress,10185,11.50,40,FALSE,3
2230,Housekeeping,10151,13.50,30,FALSE,2
